City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,City Desc
231,Xian,34.2583,108.9286,67.87,73,0,2.19,CN,2022-09-10 20:01:28,clear sky
232,Atar,20.5169,-13.0499,102.78,14,76,11.14,MR,2022-09-10 19:58:37,broken clouds
233,Buala,-8.145,159.5921,80.2,78,17,9.71,SB,2022-09-10 20:02:30,light rain
234,Baruun-Urt,46.6806,113.2792,63.27,25,65,8.72,MN,2022-09-10 20:02:32,broken clouds
235,Mamakan,57.8161,114.0028,41.5,88,100,1.7,RU,2022-09-10 20:02:32,overcast clouds
236,Zaysan,47.4667,84.8667,59.54,50,1,3.2,KZ,2022-09-10 20:02:32,clear sky
237,Palmer,42.1584,-72.3287,86.07,51,100,3.62,US,2022-09-10 20:02:32,overcast clouds
238,Mahanje,-9.9333,35.3333,65.12,63,61,2.48,TZ,2022-09-10 20:02:33,broken clouds
239,Kodiak,57.79,-152.4072,51.31,82,100,4.61,US,2022-09-10 20:02:33,overcast clouds
240,Talnakh,69.4865,88.3972,35.65,99,100,9.8,RU,2022-09-10 20:02:33,light rain
241,Fairfield,41.2668,-73.3162,86.95,43,0,9.22,US,2022-09-10 20:02:34,clear sky
242,Boa Vista,2.8197,-60.6733,91.38,52,40,5.75,BR,2022-09-10 20:00:43,scattered clouds
243,Teya,60.3778,92.6267,45.34,96,100,4.76,RU,2022-09-10 20:02:34,overcast clouds
244,Tahara,34.6667,137.2667,76.95,2,3,3.33,JP,2022-09-10 20:02:35,clear sky
245,Alberton,46.8168,-64.0654,67.08,67,0,7.72,CA,2022-09-10 20:00:24,clear sky
246,Fortuna,40.5982,-124.1573,67.98,88,65,7.49,US,2022-09-10 20:02:35,broken clouds
247,Payette,44.0782,-116.9338,82.27,17,0,0.0,US,2022-09-10 20:02:35,clear sky
248,Bereda,43.2686,-7.5406,66.15,80,0,1.57,ES,2022-09-10 20:02:36,clear sky
249,Mayo,38.8876,-76.5119,84.11,64,100,3.0,US,2022-09-10 19:59:37,overcast clouds
250,Itaituba,-4.2761,-55.9836,102.38,20,2,3.83,BR,2022-09-10 20:02:36,clear sky
251,Rio De Janeiro,-22.9028,-43.2075,80.6,63,40,29.93,BR,2022-09-10 19:58:40,haze
252,Ornes,66.8689,13.7078,47.23,89,42,4.36,NO,2022-09-10 20:02:36,scattered clouds
253,Raudeberg,61.9875,5.1352,56.07,77,0,8.28,NO,2022-09-10 20:02:37,clear sky
254,Necochea,-38.5473,-58.7368,52.72,51,0,5.26,AR,2022-09-10 20:02:37,clear sky
255,Manono,-7.3,27.4167,76.42,56,15,2.1,CD,2022-09-10 20:02:37,few clouds
256,Yeppoon,-23.1333,150.7333,56.98,59,83,5.61,AU,2022-09-10 20:02:38,broken clouds
257,Bengkulu,-3.8004,102.2655,74.14,85,59,2.93,ID,2022-09-10 20:02:38,moderate rain
258,Khatanga,71.9667,102.5,30.67,95,100,8.39,RU,2022-09-10 20:02:38,overcast clouds
259,Alexandria,31.2156,29.9553,77.54,63,0,7.25,EG,2022-09-10 19:57:55,clear sky
260,Arani,12.6667,79.2833,80.46,67,100,9.26,IN,2022-09-10 20:02:39,overcast clouds
261,Kaitangata,-46.2817,169.8464,39.7,92,10,3.62,NZ,2022-09-10 20:02:39,clear sky
262,Presidencia Roque Saenz Pena,-26.7852,-60.4388,71.96,14,0,8.5,AR,2022-09-10 20:02:39,clear sky
263,Butwal,27.7006,83.4484,77.59,74,33,5.1,NP,2022-09-10 19:57:50,scattered clouds
264,Conceicao Do Araguaia,-8.2578,-49.2647,101.37,13,0,6.8,BR,2022-09-10 20:02:40,clear sky
265,Vardo,70.3705,31.1107,48.18,81,100,12.66,NO,2022-09-10 20:02:40,overcast clouds
266,Tafresh,34.692,50.013,67.41,32,0,5.08,IR,2022-09-10 20:02:41,clear sky
267,Kloulklubed,7.0419,134.2556,75.7,68,17,1.9,PW,2022-09-10 20:02:41,few clouds
268,Tineo,43.3376,-6.4145,61.05,79,7,1.95,ES,2022-09-10 20:02:41,clear sky
269,Dandong,40.1292,124.3947,62.8,86,59,3.56,CN,2022-09-10 20:02:41,broken clouds
270,Washougal,45.5826,-122.3534,88.23,22,0,20.71,US,2022-09-10 20:02:42,smoke
271,Paso De Carrasco,-34.8603,-56.0522,54.95,48,0,7.25,UY,2022-09-10 20:02:42,clear sky
272,Cabo San Lucas,22.8909,-109.9124,89.62,72,20,7.0,MX,2022-09-10 20:01:56,few clouds
273,Tucumcari,35.1717,-103.725,66.04,68,40,14.97,US,2022-09-10 20:02:42,scattered clouds
274,Almeirim,-1.5233,-52.5817,94.17,36,47,2.73,BR,2022-09-10 20:02:43,scattered clouds
275,Maneadero,31.7167,-116.5667,81.97,63,94,11.79,MX,2022-09-10 20:02:43,overcast clouds
276,Miri,4.4148,114.0089,76.35,89,100,3.71,MY,2022-09-10 20:02:44,moderate rain
277,Taoudenni,22.6783,-3.9836,102.83,13,62,8.7,ML,2022-09-10 20:02:44,broken clouds
278,Broken Hill,-31.95,141.4333,47.07,75,82,6.6,AU,2022-09-10 20:02:44,broken clouds
279,Damietta,31.4165,31.8133,78.33,67,0,7.34,EG,2022-09-10 20:02:44,clear sky
280,Blackwater,-23.5833,148.8833,57.69,56,5,6.33,AU,2022-09-10 20:02:45,moderate rain
281,Pundaguitan,6.3711,126.1689,81.93,72,100,5.14,PH,2022-09-10 20:02:46,overcast clouds
282,Rocha,-34.4833,-54.3333,51.3,61,0,12.64,UY,2022-09-10 20:02:46,clear sky
283,Stettler,52.3168,-112.7186,72.75,16,3,10.36,CA,2022-09-10 20:02:47,clear sky
284,Komsomolskiy,40.4272,71.7189,83.12,26,71,9.22,UZ,2022-09-10 20:02:47,broken clouds
285,Sande,53.5049,8.0142,62.02,90,6,6.17,DE,2022-09-10 20:02:47,clear sky
286,Ahipara,-35.1667,173.1667,53.02,80,69,7.47,NZ,2022-09-10 20:02:48,broken clouds
287,La Rioja,42.25,-2.5,69.58,52,4,5.48,ES,2022-09-10 20:02:48,clear sky
288,Bangassou,4.7413,22.8184,69.26,98,89,1.77,CF,2022-09-10 20:00:19,overcast clouds
289,Olafsvik,64.8945,-23.7142,52.2,82,100,15.23,IS,2022-09-10 20:02:48,overcast clouds
290,Bonavista,48.6499,-53.1147,57.16,87,100,29.64,CA,2022-09-10 20:02:49,overcast clouds
291,Belmonte,-15.8631,-38.8828,73.63,59,0,7.54,BR,2022-09-10 20:02:49,clear sky
292,Green River,41.5286,-109.4662,66.18,40,0,5.01,US,2022-09-10 20:01:22,clear sky
293,Bandiagara,14.3501,-3.6104,86.11,50,79,9.37,ML,2022-09-10 20:02:49,broken clouds
294,Shieli,44.1667,66.75,60.49,35,41,15.66,KZ,2022-09-10 20:02:50,scattered clouds
295,Arica,-18.475,-70.3042,62.8,70,15,8.7,CL,2022-09-10 20:02:50,few clouds
296,Abha,18.2164,42.5053,71.85,18,0,8.05,SA,2022-09-10 20:02:50,clear sky
297,Pevek,69.7008,170.3133,41.04,82,59,2.15,RU,2022-09-10 20:02:51,broken clouds
298,Lorengau,-2.0226,147.2712,80.11,82,38,8.01,PG,2022-09-10 20:02:51,scattered clouds
299,Marsh Harbour,26.5412,-77.0636,86.0,69,16,9.13,BS,2022-09-10 20:00:03,few clouds
300,Namatanai,-3.6667,152.4333,78.6,80,91,10.0,PG,2022-09-10 20:02:51,overcast clouds
301,Narsaq,60.9167,-46.05,53.82,57,14,2.24,GL,2022-09-10 20:02:52,few clouds
302,Victoria,22.2855,114.1577,83.32,83,17,1.99,HK,2022-09-10 20:02:52,few clouds
303,Follonica,42.9263,10.7616,78.51,65,17,6.87,IT,2022-09-10 20:02:52,few clouds
304,Esperance,-33.8667,121.9,50.77,88,100,7.83,AU,2022-09-10 20:02:53,overcast clouds
305,Mount Gambier,-37.8333,140.7667,48.07,90,100,7.81,AU,2022-09-10 20:02:53,overcast clouds
306,Alice Town,25.7167,-79.3,84.96,73,80,6.93,BS,2022-09-10 20:02:54,moderate rain
307,Brasilia,-15.7797,-47.9297,87.62,16,0,8.05,BR,2022-09-10 19:58:25,clear sky
308,Biak,-0.9131,122.8766,75.11,79,100,4.43,ID,2022-09-10 20:02:54,overcast clouds
309,Umea,63.8284,20.2597,52.92,93,100,2.3,SE,2022-09-10 20:02:54,fog
